Entity,Code,Year,Hydro
Africa,,1965,5.419266
Africa,,1966,5.772398
Africa,,1967,5.9637628
Africa,,1968,6.60547
Africa,,1969,7.505726
Africa,,1970,8.64954
Africa,,1971,7.6350694
Africa,,1972,8.224803
Africa,,1973,8.019785
Africa,,1974,8.688333
Africa,,1975,8.668627
Africa,,1976,8.862243
Africa,,1977,9.238127
Africa,,1978,8.962832
Africa,,1979,8.799637
Africa,,1980,7.9677806
Africa,,1981,7.36869
Africa,,1982,6.9081993
Africa,,1983,6.0567613
Africa,,1984,5.784026
Africa,,1985,6.1799884
Africa,,1986,6.2663603
Africa,,1987,5.811112
Africa,,1988,5.931177
Africa,,1989,6.21919
Africa,,1990,6.117804
Africa,,1991,6.4938927
Africa,,1992,6.1068726
Africa,,1993,5.9632926
Africa,,1994,5.861121
Africa,,1995,5.8476334
Africa,,1996,5.943208
Africa,,1997,5.9640994
Africa,,1998,6.139039
Africa,,1999,6.316705
Africa,,2000,6.573046
Africa,,2001,6.765832
Africa,,2002,6.9672527
Africa,,2003,6.4362183
Africa,,2004,6.21453
Africa,,2005,6.332256
Africa,,2006,6.3845606
Africa,,2007,6.3360386
Africa,,2008,6.0316734
Africa,,2009,6.079752
Africa,,2010,6.314656
Africa,,2011,6.360884
Africa,,2012,6.06084
Africa,,2013,6.164254
Africa,,2014,6.2833247
Africa,,2015,5.954283
Africa,,2016,5.7002254
Africa,,2017,5.787045
Africa,,2018,6.0704966
Africa,,2019,6.0311646
Africa,,2020,6.757244
Africa,,2021,6.555725
Africa,,2022,6.712741
Africa,,2023,6.771503
Africa,,2024,6.789574
Africa (EI),,1965,5.419266
Africa (EI),,1966,5.772398
Africa (EI),,1967,5.9637628
Africa (EI),,1968,6.60547
Africa (EI),,1969,7.505726
Africa (EI),,1970,8.64954
Africa (EI),,1971,7.6350694
Africa (EI),,1972,8.224803
Africa (EI),,1973,8.019785
Africa (EI),,1974,8.688333
Africa (EI),,1975,8.668627
Africa (EI),,1976,8.862243
Africa (EI),,1977,9.238127
Africa (EI),,1978,8.962832
Africa (EI),,1979,8.799637
Africa (EI),,1980,7.9677806
Africa (EI),,1981,7.36869
Africa (EI),,1982,6.9081993
Africa (EI),,1983,6.0567613
Africa (EI),,1984,5.784026
Africa (EI),,1985,6.1799884
Africa (EI),,1986,6.2663603
Africa (EI),,1987,5.811112
Africa (EI),,1988,5.931177
Africa (EI),,1989,6.21919
Africa (EI),,1990,6.117804
Africa (EI),,1991,6.4938927
Africa (EI),,1992,6.1068726
Africa (EI),,1993,5.9632926
Africa (EI),,1994,5.861121
Africa (EI),,1995,5.8476334
Africa (EI),,1996,5.943208
Africa (EI),,1997,5.9640994
Africa (EI),,1998,6.139039
Africa (EI),,1999,6.316705
Africa (EI),,2000,6.573046
Africa (EI),,2001,6.765832
Africa (EI),,2002,6.9672527
Africa (EI),,2003,6.4362183
Africa (EI),,2004,6.21453
Africa (EI),,2005,6.332256
Africa (EI),,2006,6.3845606
Africa (EI),,2007,6.3360386
Africa (EI),,2008,6.0316734
Africa (EI),,2009,6.079752
Africa (EI),,2010,6.314656
Africa (EI),,2011,6.360884
Africa (EI),,2012,6.06084
Africa (EI),,2013,6.164254
Africa (EI),,2014,6.2833247
Africa (EI),,2015,5.954283
Africa (EI),,2016,5.7002254
Africa (EI),,2017,5.787045
Africa (EI),,2018,6.0704966
